date;plant-stand;precip;temp;hail;crop-hist;area-damaged;severity;seed-tmt;germination;plant-growth;leaves;leafspots-halo;leafspots-marg;leafspot-size;leaf-shread;leaf-malf;leaf-mild;stem;lodging;stem-cankers;canker-lesion;fruiting-bodies;external-decay;mycelium;int-discolor;sclerotia;fruit-pods;fruit-spots;seed;mold-growth;seed-discolor;seed-size;shriveling;roots;class
october;normal;gt-norm;gt-norm;yes;same-lst-two-yrs;whole-field;pot-severe;none;80-89;norm;norm;no-yellow-halos;no-w-s-marg;dna;absent;absent;absent;abnorm;yes;absent;dna;present;absent;absent;none;absent;few-present;distort;abnorm;present;present;lt-norm;present;norm;diaporthe-pod-&-stem-blight
september;normal;gt-norm;norm;no;same-lst-sev-yrs;upper-areas;pot-severe;fungicide;90-100;norm;abnorm;yellow-halos;w-s-marg;lt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;bacterial-blight
june;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;90-100;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;absent;absent;none;absent;dna;dna;norm;absent;absent;norm;absent;norm;phytophthora-rot
september;normal;gt-norm;lt-norm;no;same-lst-two-yrs;low-areas;pot-severe;fungicide;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;present;lower-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;absent;norm;absent;norm;downy-mildew
may;lt-normal;lt-norm;norm;no;diff-lst-year;upper-areas;minor;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;present;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;phyllosticta-leaf-spot
september;normal;lt-norm;norm;no;same-lst-sev-yrs;upper-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;no;absent;brown;absent;absent;absent;brown;absent;norm;dna;norm;absent;absent;norm;absent;norm;brown-stem-rot
july;normal;lt-norm;gt-norm;yes;same-lst-sev-yrs;upper-areas;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;no-w-s-marg;gt-1/8;present;absent;lower-surf;norm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;diseased;absent;norm;absent;absent;norm;absent;rotted;phyllosticta-leaf-spot
june;lt-normal;norm;norm;yes;same-lst-sev-yrs;low-areas;minor;other;lt-80;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;present;absent;absent;none;absent;diseased;brown-w/blk-specks;abnorm;present;present;lt-norm;absent;norm;phytophthora-rot
may;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
may;lt-normal;gt-norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;dna;dna;norm;absent;absent;norm;absent;norm;phytophthora-rot
july;lt-normal;norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dk-brown-blk;absent;watery;absent;none;absent;diseased;brown-w/blk-specks;norm;present;absent;lt-norm;present;galls-cysts;phytophthora-rot
september;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;whole-field;minor;other;80-89;norm;norm;absent;no-w-s-marg;lt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;diseased;brown-w/blk-specks;abnorm;absent;present;lt-norm;present;galls-cysts;anthracnose
september;normal;gt-norm;gt-norm;yes;same-lst-two-yrs;whole-field;minor;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
june;lt-normal;norm;lt-norm;yes;same-lst-two-yrs;upper-areas;minor;fungicide;90-100;norm;abnorm;absent;dna;dna;absent;absent;upper-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;powdery-mildew
august;normal;gt-norm;norm;yes;same-lst-yr;whole-field;minor;fungicide;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;present;firm-and-dry;absent;none;absent;diseased;colored;abnorm;absent;absent;lt-norm;present;norm;frog-eye-leaf-spot
october;normal;gt-norm;norm;yes;same-lst-yr;scattered;pot-severe;other;80-89;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-soil;brown;absent;firm-and-dry;absent;none;absent;norm;distort;abnorm;absent;present;lt-norm;absent;norm;anthracnose
june;normal;gt-norm;lt-norm;no;diff-lst-year;scattered;pot-severe;none;80-89;norm;abnorm;no-yellow-halos;no-w-s-marg;lt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;present;norm;absent;norm;bacterial-pustule
september;normal;gt-norm;norm;no;same-lst-two-yrs;scattered;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;lt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;diseased;distort;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
august;normal;gt-norm;norm;no;same-lst-sev-yrs;whole-field;minor;fungicide;lt-80;norm;norm;absent;dna;dna;absent;absent;absent;norm;no;absent;tan;absent;absent;absent;black;absent;norm;absent;abnorm;absent;present;norm;absent;norm;purple-seed-stain
august;normal;norm;gt-norm;yes;diff-lst-year;scattered;minor;other;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;absent;absent;norm;absent;norm;phyllosticta-leaf-spot
august;normal;norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;fungicide;lt-80;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dna;absent;absent;absent;brown;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-stem-rot
august;normal;gt-norm;gt-norm;yes;same-lst-two-yrs;whole-field;minor;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;brown;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
june;lt-normal;gt-norm;lt-norm;yes;same-lst-yr;low-areas;pot-severe;fungicide;80-89;norm;abnorm;yellow-halos;w-s-marg;gt-1/8;absent;absent;lower-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;absent;norm;absent;norm;downy-mildew
july;lt-normal;gt-norm;norm;yes;diff-lst-year;low-areas;minor;fungicide;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;brown;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
october;lt-normal;gt-norm;norm;yes;same-lst-two-yrs;upper-areas;pot-severe;fungicide;lt-80;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-soil;brown;present;watery;absent;none;absent;norm;distort;abnorm;present;absent;lt-norm;absent;norm;anthracnose
october;normal;gt-norm;norm;no;same-lst-two-yrs;whole-field;pot-severe;fungicide;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;lower-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;absent;norm;absent;norm;downy-mildew
september;normal;norm;gt-norm;no;diff-lst-year;upper-areas;pot-severe;other;lt-80;norm;abnorm;yellow-halos;no-w-s-marg;lt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;present;lt-norm;absent;norm;bacterial-pustule
may;lt-normal;lt-norm;norm;no;same-lst-two-yrs;whole-field;minor;other;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;lt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;bacterial-blight
august;normal;norm;lt-norm;no;diff-lst-year;scattered;minor;other;80-89;norm;abnorm;absent;dna;dna;absent;absent;upper-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;powdery-mildew
august;lt-normal;gt-norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;dna;dna;norm;absent;absent;norm;absent;norm;phytophthora-rot
august;normal;gt-norm;gt-norm;yes;same-lst-yr;whole-field;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
august;normal;gt-norm;norm;yes;same-lst-yr;scattered;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
october;lt-normal;gt-norm;norm;no;diff-lst-year;scattered;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
august;normal;gt-norm;gt-norm;no;same-lst-two-yrs;whole-field;pot-severe;none;90-100;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;few-present;brown-w/blk-specks;norm;absent;absent;norm;absent;rotted;brown-spot
july;normal;gt-norm;norm;yes;same-lst-yr;scattered;pot-severe;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;lower-surf;norm;no;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;absent;norm;absent;norm;downy-mildew
september;normal;gt-norm;gt-norm;yes;same-lst-sev-yrs;scattered;pot-severe;none;90-100;norm;norm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;no;absent;dna;present;absent;absent;none;absent;diseased;brown-w/blk-specks;abnorm;present;present;lt-norm;present;norm;diaporthe-pod-&-stem-blight
october;normal;gt-norm;gt-norm;no;diff-lst-year;scattered;pot-severe;none;90-100;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;no;above-sec-nde;dk-brown-blk;present;absent;absent;none;absent;diseased;brown-w/blk-specks;norm;absent;absent;norm;present;norm;anthracnose
july;lt-normal;gt-norm;norm;yes;same-lst-two-yrs;scattered;minor;none;lt-80;norm;abnorm;yellow-halos;no-w-s-marg;lt-1/8;present;absent;absent;norm;no;absent;dna;absent;absent;absent;none;absent;norm;dna;norm;absent;absent;lt-norm;absent;galls-cysts;bacterial-pustule
october;normal;gt-norm;norm;yes;diff-lst-year;scattered;pot-severe;none;90-100;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;diseased;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;anthracnose
july;lt-normal;gt-norm;norm;yes;same-lst-yr;low-areas;pot-severe;none;lt-80;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
june;lt-normal;norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;below-soil;brown;absent;watery;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
may;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
june;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
september;normal;gt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
october;normal;norm;norm;no;same-lst-two-yrs;upper-areas;severe;other;90-100;norm;abnorm;absent;dna;lt-1/8;absent;present;upper-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;powdery-mildew
september;lt-normal;lt-norm;gt-norm;no;same-lst-sev-yrs;upper-areas;pot-severe;none;lt-80;norm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;dna;absent;absent;absent;brown;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-stem-rot
september;lt-normal;lt-norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;fungicide;lt-80;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;no;absent;tan;absent;absent;absent;none;absent;norm;distort;norm;absent;absent;norm;absent;norm;brown-stem-rot
may;lt-normal;gt-norm;lt-norm;yes;same-lst-sev-yrs;low-areas;severe;fungicide;90-100;abnorm;norm;absent;dna;dna;absent;absent;lower-surf;norm;yes;below-soil;dk-brown-blk;present;absent;absent;none;absent;dna;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;rhizoctonia-root-rot
august;normal;gt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;present;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
april;normal;gt-norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
september;normal;gt-norm;norm;yes;same-lst-yr;low-areas;pot-severe;none;80-89;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;present;absent;absent;none;absent;diseased;brown-w/blk-specks;abnorm;present;absent;lt-norm;present;norm;anthracnose
may;lt-normal;gt-norm;gt-norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
september;lt-normal;gt-norm;gt-norm;yes;same-lst-yr;low-areas;minor;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
october;lt-normal;lt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;fungicide;90-100;norm;abnorm;absent;dna;gt-1/8;absent;absent;absent;abnorm;yes;absent;brown;present;firm-and-dry;absent;brown;absent;norm;absent;abnorm;absent;absent;lt-norm;present;norm;brown-stem-rot
july;lt-normal;gt-norm;gt-norm;yes;same-lst-yr;whole-field;pot-severe;other;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;present;lower-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;present;absent;norm;absent;norm;downy-mildew
june;lt-normal;norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;dna;dna;norm;absent;absent;norm;absent;norm;phytophthora-rot
april;lt-normal;gt-norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
june;lt-normal;norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
october;normal;lt-norm;gt-norm;no;same-lst-yr;upper-areas;pot-severe;none;90-100;abnorm;abnorm;absent;dna;dna;absent;absent;absent;norm;yes;above-soil;dna;absent;absent;absent;none;present;dna;brown-w/blk-specks;norm;absent;absent;norm;absent;norm;charcoal-rot
april;lt-normal;norm;gt-norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-soil;dk-brown-blk;absent;absent;absent;none;absent;dna;dna;norm;absent;absent;norm;absent;norm;phytophthora-rot
september;normal;gt-norm;gt-norm;yes;same-lst-two-yrs;upper-areas;minor;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
july;normal;gt-norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;none;80-89;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
october;normal;gt-norm;gt-norm;yes;same-lst-sev-yrs;whole-field;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
october;normal;gt-norm;lt-norm;yes;same-lst-two-yrs;upper-areas;pot-severe;none;90-100;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;yes;absent;tan;absent;absent;absent;none;absent;norm;absent;abnorm;absent;present;norm;absent;norm;purple-seed-stain
april;normal;gt-norm;lt-norm;no;same-lst-sev-yrs;low-areas;minor;none;lt-80;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;abnorm;yes;above-sec-nde;tan;present;watery;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
september;normal;gt-norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;other;80-89;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dna;present;firm-and-dry;absent;none;absent;norm;dna;norm;absent;absent;norm;absent;norm;diaporthe-stem-canker
october;lt-normal;gt-norm;norm;yes;same-lst-yr;low-areas;pot-severe;none;80-89;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;present;absent;absent;none;absent;diseased;brown-w/blk-specks;abnorm;present;present;norm;absent;norm;anthracnose
august;lt-normal;gt-norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
june;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;absent;tan;present;firm-and-dry;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
september;lt-normal;gt-norm;gt-norm;yes;same-lst-sev-yrs;low-areas;minor;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;alternarialeaf-spot
june;lt-normal;gt-norm;norm;yes;same-lst-sev-yrs;whole-field;pot-severe;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
august;normal;gt-norm;gt-norm;yes;same-lst-yr;low-areas;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;brown;absent;firm-and-dry;absent;none;absent;diseased;colored;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
june;lt-normal;norm;norm;yes;same-lst-sev-yrs;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;few-present;dna;norm;absent;absent;norm;absent;norm;phytophthora-rot
may;lt-normal;gt-norm;norm;yes;same-lst-yr;low-areas;pot-severe;fungicide;90-100;abnorm;abnorm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;absent;none;absent;dna;dna;norm;absent;absent;norm;absent;norm;phytophthora-rot
august;lt-normal;gt-norm;gt-norm;yes;diff-lst-year;low-areas;pot-severe;none;90-100;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;absent;dk-brown-blk;absent;watery;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;rotted;phytophthora-rot
august;normal;gt-norm;norm;yes;same-lst-two-yrs;whole-field;pot-severe;fungicide;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;present;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;frog-eye-leaf-spot
october;normal;lt-norm;lt-norm;no;diff-lst-year;whole-field;minor;other;lt-80;norm;abnorm;absent;dna;dna;absent;absent;upper-surf;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;powdery-mildew
july;lt-normal;gt-norm;norm;yes;same-lst-yr;low-areas;pot-severe;none;80-89;abnorm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;below-soil;dk-brown-blk;absent;absent;absent;none;absent;norm;absent;norm;present;absent;lt-norm;present;rotted;phytophthora-rot
september;normal;gt-norm;gt-norm;yes;diff-lst-year;scattered;minor;none;lt-80;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;norm;yes;absent;dna;absent;absent;absent;none;absent;norm;absent;abnorm;absent;present;lt-norm;absent;norm;alternarialeaf-spot
july;lt-normal;gt-norm;norm;yes;same-lst-two-yrs;scattered;pot-severe;none;80-89;norm;norm;absent;dna;dna;absent;absent;absent;abnorm;yes;above-sec-nde;dk-brown-blk;absent;absent;present;none;absent;diseased;brown-w/blk-specks;abnorm;present;absent;lt-norm;present;norm;anthracnose
july;normal;gt-norm;norm;yes;same-lst-two-yrs;low-areas;pot-severe;none;90-100;norm;abnorm;no-yellow-halos;w-s-marg;gt-1/8;absent;absent;absent;abnorm;yes;above-sec-nde;brown;present;absent;absent;none;absent;norm;absent;norm;absent;absent;norm;absent;norm;brown-spot
